RESULTS

For the following solvents:
water  MeOH  EtOH  1PrOH  DMSO  DMA  DMF  PC  ACE  BuOH  EG  FA  MeCN  
We considered all the salts that could be formed with the following cations and anions:
Cations: Li  Na  K  Rb  Cs  
Anions: F  Cl  Br  I  

dGs
                     allparams_bound                     gamma_bound                      simple_unbound                      zeta_bound             
Ref dGs        error            result           error            result           error            result           error            result        
  16.515       -3.616           20.131           -3.555           20.070            2.947           13.568            1.977           14.539     
  24.403       10.202           14.201           10.168           14.234            9.470           14.933            9.864           14.539     
 -34.895      -28.996           -5.899          -29.029           -5.866          -33.223           -1.672          -32.402           -2.493     
  -6.477       -1.256           -5.221           -1.263           -5.214           -4.694           -1.783           -3.984           -2.493     
  -0.574       -0.505           -0.068           -0.418           -0.156            2.696           -3.269            1.919           -2.493     
   7.314       13.312           -5.998           13.305           -5.991            9.218           -1.905            9.807           -2.493     
 -40.679      -30.971           -9.708          -31.012           -9.667          -34.927           -5.752          -34.059           -6.620     
 -12.261       -3.231           -9.030           -3.247           -9.014           -6.399           -5.862           -5.641           -6.620     
  -6.358       -2.480           -3.877           -2.402           -3.956            0.991           -7.349            0.262           -6.620     
   1.530       11.337           -9.807           11.321           -9.792            7.514           -5.984            8.149           -6.620     
 -46.056      -32.129          -13.927          -32.187          -13.869          -35.923          -10.134          -35.004          -11.052     
 -17.639       -4.389          -13.250           -4.422          -13.216           -7.394          -10.245           -6.586          -11.052     
 -11.735       -3.638           -8.097           -3.577           -8.158           -0.004          -11.731           -0.683          -11.052     
  -3.848       10.179          -14.027           10.146          -13.994            6.518          -10.366            7.204          -11.052     
  38.241       -0.346           38.586           -0.364           38.605           -3.687           41.928           -3.428           41.669     
  43.499       -0.469           43.968           -0.376           43.875            3.028           40.471            1.830           41.669     
  51.864       14.057           37.807           14.039           37.825           10.058           41.806           10.195           41.669     
  11.472       -3.246           14.718           -3.293           14.765           -3.734           15.207           -3.166           14.639     
  16.730       -3.369           20.100           -3.305           20.035            2.981           13.749            2.092           14.639     
  25.096       11.157           13.938           11.110           13.985           10.011           15.085           10.457           14.639     
  -5.497        0.016           -5.513           -0.005           -5.492           -3.862           -1.635           -3.100           -2.398     
  -0.239       -0.108           -0.131           -0.017           -0.222            2.853           -3.092            2.159           -2.398     
   8.126       14.419           -6.292           14.398           -6.272            9.883           -1.757           10.524           -2.398     
